;Classe;Département;Nombre individus
566;1915;haute-garonne;3620
567;1909;creuse;2322
568;1915;hautes-alpes;956
569;1915;haute-saone;2133
570;1896;indre;3960
571;1909;deux-sevres;3136
572;1915;landes;2504
573;1915;loir-et-cher;0
574;1909;dordogne;4051
575;1915;lozere;0
576;1915;indre;2373
577;1891;nord;1
578;1909;doubs;1286
579;1915;morbihan;5936
580;1915;moselle;0
581;1909;drome;2289
582;1915;pas-de-calais;10338
583;1915;oise;0
584;1889;gironde;5417
585;1909;eure;1546
586;1915;seine-et-marne;2879
587;1915;seine-maritime;8375
588;1909;eure-et-loir;1061
589;1915;vaucluse;1763
590;1915;eure-et-loir;27
591;1906;allier;0
592;1909;finistere;7596
593;1916;archives+diplomatiques;461
594;1916;archives+nationales+d%27outre+mer;8655
595;1909;gard;3336
596;1916;aveyron;0
597;1917;eure-et-loir;114
598;1906;alpes-de-haute-provence;903
599;1909;gers;1534
600;1918;mayenne;2781
601;1919;gard;0
602;1909;gironde;7588
603;1919;memoire+des+hommes;392
604;1896;indre-et-loire;2072
605;1909;guadeloupe;1301
606;1919;vosges;4933
607;1892;haut-rhin;4
608;1906;alpes-maritimes;2121
609;1909;haute-garonne;3129
610;1892;haute-loire;2525
611;1909;haute-loire;2212
612;1892;haute-marne;1591
613;1906;archives+diplomatiques;316
614;1909;haute-marne;1504
615;1892;haute-savoie;2583
616;1909;haute-saone;2122
617;1892;hautes-alpes;1181
618;1892;hautes-pyrenees;2794
619;1909;haute-savoie;2268
620;1892;herault;80
621;1892;ille-et-vilaine;6231
622;1892;indre;3926
623;1892;indre-et-loire;2181
624;1891;oise;0
625;1909;hautes-alpes;948
626;1892;isere;4585
627;1909;ille-et-vilaine;5573
628;1892;lot;1637
629;1906;ardeche;2150
630;1909;indre;1869
631;1892;lozere;1500
632;1909;indre-et-loire;2572
633;1892;maine-et-loire;0
634;1892;manche;1566
635;1896;jura;2075
636;1909;isere;0
637;1892;martinique;777
638;1910;pyrenees-orientales;1737
639;1914;alpes-maritimes;2211
640;1909;jura;425
641;1892;mayenne;3097
642;1916;herault;2106
643;1918;loire-atlantique;6781
644;1911;bouches-du-rhone;5235
645;1919;moselle;0
646;1916;corse;2679
647;1892;memoire+des+hommes;524
648;1915;bas-rhin;3765
649;1914;eure-et-loir;822
650;1912;martinique;1442
651;1914;vosges;5030
652;1910;mayenne;2600
653;1917;martinique;1766
654;1911;ariege;1504
655;1911;pyrenees-orientales;1722
656;1918;territoire+de+belfort;2173
657;1909;landes;2511
658;1892;meurthe-et-moselle;760
659;1892;meuse;1917
660;1911;doubs;1203
661;1913;pyrenees-orientales;1768
662;1913;eure;1601
663;1913;loiret;336
664;1909;loir-et-cher;0
665;1892;morbihan;4924
666;1915;mayenne;2600
667;1916;gard;2283
668;1916;manche;1891
669;1917;corse;3080
670;1892;moselle;0
671;1918;moselle;0
672;1917;archives+nationales+d%27outre+mer;10999
673;1919;aveyron;0
674;1919;seine-maritime;8783
675;1918;somme;5210
676;1910;rhone;0
677;1910;marne;6938
678;1910;vienne;1887
679;1911;herault;1105
680;1890;bouches-du-rhone;3607
681;1889;herault;2428
682;1890;bas-rhin;35
683;1890;aveyron;2320
684;1889;hautes-alpes;1013
685;1890;aude;3529
686;1890;aube;1830
687;1889;territoire+de+belfort;1995
688;1890;ariege;1032
689;1889;tarn-et-garonne;1565
690;1890;ardeche;2040
691;1889;tarn;2371
692;1889;somme;3954
693;1889;yvelines;0
694;1889;seine-et-marne;2629
695;1889;savoie;1000
696;1889;vosges;3947
697;1889;sarthe;4197
698;1889;marne;4588
699;1889;vendee;3311
700;1889;manche;1391
701;1889;maine-et-loire;1582
702;1897;orne;2656
703;1889;lozere;1931
704;1889;lot-et-garonne;2782
705;1908;jura;227
706;1889;lot;1590
707;1889;loiret;173
708;1908;isere;0
709;1889;loire-atlantique;4783
710;1889;loire;0
711;1892;gironde;5931
712;1889;loir-et-cher;998
713;1889;landes;1783
714;1890;cher;114
715;1889;jura;1848
716;1889;isere;4299
717;1890;charente;1586
718;1889;indre-et-loire;1854
719;1889;indre;3564
720;1890;calvados;0
721;1889;ille-et-vilaine;4975
722;1892;gers;1728
723;1889;puy-de-dome;1230
724;1897;moselle;0
725;1908;hautes-alpes;940
726;1908;haute-vienne;3630
727;1889;paris;18388
728;1889;orne;2733
729;1890;alpes-maritimes;0
730;1889;oise;0
731;1889;nord;0
732;1890;allier;0
733;1889;nievre;4000
734;1889;moselle;0
735;1890;ain;695
736;1889;seine-maritime;6767
737;1889;meuse;1702
738;1889;meurthe-et-moselle;3132
739;1889;memoire+des+hommes;269
740;1888;archives+nationales+d%27outre+mer;2380
741;1889;haute-savoie;2587
742;1888;ardeche;2026
743;1888;ardennes;2116
744;1889;haute-marne;1412
745;1889;vaucluse;1897
746;1897;nord;18
747;1889;haute-garonne;3851
748;1908;indre;2400
749;1908;ille-et-vilaine;5541
750;1889;martinique;666
751;1897;nievre;4258
752;1908;herault;457
753;1889;rhone;0
754;1889;pyrenees-orientales;1735
755;1907;aisne;1151
756;1896;yonne;2728
757;1891;yonne;1990
758;1907;ain;328
759;1906;yvelines;5328
760;1907;allier;0
761;1919;sarthe;0
762;1909;hautes-pyrenees;2791
763;1892;landes;1818
764;1906;archives+nationales+d%27outre+mer;7813
765;1892;jura;1963
766;1910;eure-et-loir;585
767;1909;lot;1539
768;1917;puy-de-dome;5
769;1917;seine-et-marne;4073
770;1918;cotes+d%27armor;5511
771;1912;haute-vienne;3111
772;1911;yonne;1990
773;1906;ariege;1626
774;1892;nievre;4500
775;1915;alpes-maritimes;2385
776;1913;lozere;0
777;1899;puy-de-dome;0
778;1893;haut-rhin;154
779;1895;haute-saone;1762
780;1893;guadeloupe;538
781;1913;ille-et-vilaine;5412
782;1899;oise;0
783;1913;aube;2432
784;1899;haute-vienne;4901
785;1899;haute-savoie;2543
786;1903;seine-et-marne;2681
787;1903;savoie;0
788;1913;bas-rhin;3382
789;1895;haute-marne;1413
790;1893;gard;4433
791;1912;manche;1859
792;1899;meuse;3081
